source,target,type,distance,speed,delay,price_rate
brasilia,salvador,air,1084,860,2,2.10
brasilia,fortaleza,air,1686,860,2,1.96
brasilia,manaus,air,1942,860,2,1.46
recife,fortaleza,air,626,860,2,4.96
macapa,belem,air,207,860,2,4.77
sao_paulo,florianopolis,air,495,860,2,6.25
brasilia,belem,air,1606,860,2,1.27
rio_de_janeiro,belo_horizonte,air,373,860,2,4.98
fortaleza,sao_luis,air,652,860,2,3.56
belo_horizonte,vitoria,air,380,860,2,5.75
sao_paulo,brasilia,air,875,860,2,2.81
sao_paulo,belo_horizonte,air,517,860,2,2.95
manaus,porto_velho,air,768,860,2,5.92
florianopolis,porto_alegre,air,375,860,2,4.98
sao_luis,belem,air,481,860,2,2.25
natal,fernando_de_noronha,air,374,860,2,11.22
brasilia,cuiaba,air,877,860,2,2.15
brasilia,porto_velho,air,1904,860,2,0.73
brasilia,rio_branco,air,2249,860,2,1.34
sao_paulo,campo_grande,air,891,860,2,2.41
sao_paulo,rio_de_janeiro,air,360,860,2,7.54
sao_paulo,fortaleza,air,2371,860,2,0.57
salvador,recife,air,670,860,2,2.01
belem,manaus,air,1289,860,2,2.04
curitiba,florianopolis,road,307,100,1,0.3
curitiba,cascavel,road,504,100,1,0.3
florianopolis,chapeco,road,562,100,1,0.3
manaus,rorainopolis,road,488,100,1,0.3
belem,imperatriz,road,580,100,1,0.3
teresina,juazeiro_do_norte,road,1128,100,1,0.3
salvador,ibotirama,road,655,100,1,0.3
rio_de_janeiro,campos_dos_goytacazes,road,278,100,1,0.3
sao_paulo,belo_horizonte,road,583,100,1,0.3
brasilia,montes_claros,road,700,100,1,0.3
tarauaca,cruzeiro_do_sul,road,228,100,1,0.3
belem,santarem,road,1167,100,1,0.3
maceio,juazeiro_do_norte,road,606,100,1,0.3
parauapebas,santarem,road,1073,100,1,0.3
aracaju,petrolina,road,478,100,1,0.3
vitoria,belo_horizonte,road,514,100,1,0.3
ibotirama,petrolina,road,709,100,1,0.3
manaus,porto_velho,road,889,100,1,0.3
rio_verde,cuiaba,road,701,100,1,0.3
ji_parana,vilhena,road,334,100,1,0.3
guiana_francesa,oiapoque,road,194,100,1,0.3
santa_maria,chapeco,road,401,100,1,0.3
palmas,imperatriz,road,628,100,1,0.3
suriname,guiana_francesa,road,397,100,1,0.3
fortaleza,sobral,road,243,100,1,0.3
aruana,palmas,road,764,100,1,0.3
cuiaba,rondonopolis,road,216,100,1,0.3
itaituba,parauapebas,road,1156,100,1,0.3
confresa,palmas,road,583,100,1,0.3
rorainopolis,boa_vista,road,260,100,1,0.3
vitoria,itamaraju,road,436,100,1,0.3
rio_de_janeiro,sao_paulo,road,444,100,1,0.3
cascavel,dourados,road,411,100,1,0.3
uberlandia,campo_grande,road,760,100,1,0.3
porto_alegre,chapeco,road,454,100,1,0.3
rio_branco,tarauaca,road,409,100,1,0.3
teresina,imperatriz,road,614,100,1,0.3
vitoria,campos_dos_goytacazes,road,241,100,1,0.3
goiania,brasilia,road,208,100,1,0.3
aruana,sinop,road,998,100,1,0.3
mossoro,teresina,road,826,100,1,0.3
natal,caico,road,272,100,1,0.3
sao_paulo,londrina,road,537,100,1,0.3
curitiba,londrina,road,388,100,1,0.3
cuiaba,aruana,road,780,100,1,0.3
cuiaba,vilhena,road,754,100,1,0.3
belem,parauapebas,road,653,100,1,0.3
natal,joao_pessoa,road,181,100,1,0.3
florianopolis,porto_alegre,road,463,100,1,0.3
goiania,uberlandia,road,340,100,1,0.3
goiania,rio_verde,road,232,100,1,0.3
sao_luis,teresina,road,436,100,1,0.3
maceio,aracaju,road,500,100,1,0.3
belo_horizonte,brasilia,road,733,100,1,0.3
campo_grande,dourados,road,225,100,1,0.3
sao_luis,parnaiba,road,658,100,1,0.3
joao_pessoa,recife,road,116,100,1,0.3
ribeirao_preto,londrina,road,466,100,1,0.3
teresina,petrolina,road,641,100,1,0.3
natal,mossoro,road,279,100,1,0.3
recife,maceio,road,257,100,1,0.3
ibotirama,palmas,road,820,100,1,0.3
aruana,goiania,road,314,100,1,0.3
porto_velho,ji_parana,road,372,100,1,0.3
imperatriz,parauapebas,road,387,100,1,0.3
uberlandia,londrina,road,746,100,1,0.3
chapeco,cascavel,road,337,100,1,0.3
fortaleza,mossoro,road,241,100,1,0.3
cuiaba,sinop,road,480,100,1,0.3
sobral,parnaiba,road,244,100,1,0.3
salvador,itamaraju,road,740,100,1,0.3
belo_horizonte,montes_claros,road,425,100,1,0.3
belo_horizonte,uberlandia,road,537,100,1,0.3
ji_parana,sinop,road,996,100,1,0.3
caico,mossoro,road,189,100,1,0.3
boa_vista,pacaraima,road,214,100,1,0.3
belem,sao_luis,road,582,100,1,0.3
ribeirao_preto,belo_horizonte,road,512,100,1,0.3
uberlandia,rio_verde,road,336,100,1,0.3
porto_alegre,pelotas,road,263,100,1,0.3
ibotirama,montes_claros,road,651,100,1,0.3
salvador,montes_claros,road,1009,100,1,0.3
brasilia,ibotirama,road,803,100,1,0.3
itaituba,sinop,road,998,100,1,0.3
sinop,confresa,road,636,100,1,0.3
porto_velho,manaus,road,889,100,1,0.3
caico,teresina,road,827,100,1,0.3
